day,price
2023-08-01,261.1
2023-08-02,254.1
2023-08-03,259.3
2023-08-04,253.9
2023-08-07,251.4
2023-08-08,249.7
2023-08-09,242.2
2023-08-10,245.3
2023-08-11,242.6
2023-08-14,239.8
2023-08-15,233.0
2023-08-16,225.6
2023-08-17,219.2
2023-08-18,215.5
2023-08-21,231.3
2023-08-22,233.2
2023-08-23,236.9
2023-08-24,230.0
2023-08-25,238.6
2023-08-28,238.8
2023-08-29,257.2
2023-08-30,256.9
2023-08-31,258.1
2023-09-01,245.0
2023-09-05,256.5
2023-09-06,251.9
2023-09-07,251.5
2023-09-08,248.5
2023-09-11,273.6
2023-09-12,267.5
2023-09-13,271.3
2023-09-14,276.0
2023-09-15,274.4
2023-09-18,265.3
2023-09-19,266.5
2023-09-20,262.6
2023-09-21,255.7
2023-09-22,244.9
2023-09-25,247.0
2023-09-26,244.1
2023-09-27,240.5
2023-09-28,246.4
2023-09-29,250.2
2023-10-02,251.6
2023-10-03,246.5
2023-10-04,261.2
2023-10-05,260.0
2023-10-06,260.5
2023-10-09,259.7
2023-10-10,263.6
2023-10-11,263.0
2023-10-12,258.9
2023-10-13,251.1
2023-10-16,253.9
2023-10-17,254.9
2023-10-18,242.7
2023-10-19,220.1
2023-10-20,212.0
2023-10-23,212.1
2023-10-24,216.5
2023-10-25,212.4
2023-10-26,205.8
2023-10-27,207.3
2023-10-30,197.4
2023-10-31,200.8
2023-11-01,205.7
2023-11-02,218.5
2023-11-03,220.0
2023-11-06,219.3
2023-11-07,222.2
2023-11-08,222.1
2023-11-09,210.0
2023-11-10,214.6
2023-11-13,223.7
2023-11-14,237.4
2023-11-15,242.8
2023-11-16,233.6
2023-11-17,234.3
2023-11-20,235.6
2023-11-21,241.2
2023-11-22,234.2
2023-11-24,235.4
2023-11-27,236.1
2023-11-28,246.7
2023-11-29,244.1
2023-11-30,240.1
2023-12-01,238.8
2023-12-04,235.6
2023-12-05,238.7
2023-12-06,239.4
2023-12-07,242.6
2023-12-08,243.8
2023-12-11,239.7
2023-12-12,237.0
2023-12-13,239.3
2023-12-14,251.1
2023-12-15,253.5
2023-12-18,252.1
2023-12-19,257.2
2023-12-20,247.1
2023-12-21,254.5
2023-12-22,252.5
2023-12-26,256.6
2023-12-27,261.4
2023-12-28,253.2
2023-12-29,248.5
2024-01-02,248.4
2024-01-03,238.4
2024-01-04,237.9
2024-01-05,237.5
2024-01-08,240.4
2024-01-09,235.0
2024-01-10,233.9
2024-01-11,227.2
2024-01-12,218.9
2024-01-16,219.9
2024-01-17,215.6
2024-01-18,211.9
2024-01-19,212.2
2024-01-22,208.8
2024-01-23,209.1
2024-01-24,207.8
2024-01-25,182.6
2024-01-26,183.2
2024-01-29,190.9
2024-01-30,191.6
2024-01-31,187.3
2024-02-01,188.9
2024-02-02,187.9
2024-02-05,181.1
2024-02-06,185.1
2024-02-07,187.6
2024-02-08,189.6
2024-02-09,193.6
2024-02-12,188.1
2024-02-13,184.0
2024-02-14,188.7
2024-02-15,200.4
2024-02-16,199.9
2024-02-20,193.8
2024-02-21,194.8
2024-02-22,197.4
2024-02-23,192.0
2024-02-26,199.4
2024-02-27,199.7
2024-02-28,202.0
2024-02-29,201.9
2024-03-01,202.6
2024-03-04,188.1
2024-03-05,180.7
2024-03-06,176.5
2024-03-07,178.6
2024-03-08,175.3
2024-03-11,177.8
2024-03-12,177.5
2024-03-13,169.5
2024-03-14,162.5
2024-03-15,163.6
2024-03-18,173.8
2024-03-19,171.3
2024-03-20,175.7
2024-03-21,172.8
2024-03-22,170.8
2024-03-25,172.6
2024-03-26,177.7
2024-03-27,179.8
2024-03-28,175.8
2024-04-01,175.2
2024-04-02,166.6
2024-04-03,168.4
2024-04-04,171.1
2024-04-05,164.9
2024-04-08,173.0
2024-04-09,176.9
2024-04-10,171.8
2024-04-11,174.6
2024-04-12,171.1
2024-04-15,161.5
2024-04-16,157.1
2024-04-17,155.4
2024-04-18,149.9
2024-04-19,147.1
2024-04-22,142.1
2024-04-23,144.7
2024-04-24,162.1
2024-04-25,170.2
2024-04-26,168.3
2024-04-29,194.1
2024-04-30,183.3
2024-05-01,180.0
2024-05-02,180.0
2024-05-03,181.2
2024-05-06,184.8
2024-05-07,177.8
2024-05-08,174.7
2024-05-09,172.0
2024-05-10,168.5
2024-05-13,171.9
2024-05-14,177.6
2024-05-15,174.0
2024-05-16,174.8
2024-05-17,177.5
2024-05-20,174.9
2024-05-21,186.6
2024-05-22,180.1
2024-05-23,173.7
2024-05-24,179.2
2024-05-28,176.8
2024-05-29,176.2
2024-05-30,178.8
2024-05-31,178.1
2024-06-03,176.3
2024-06-04,174.8
2024-06-05,175.0
2024-06-06,177.9
2024-06-07,177.5
2024-06-10,173.8
2024-06-11,170.7
2024-06-12,177.3
2024-06-13,182.5
2024-06-14,178.0
2024-06-17,187.4
2024-06-18,184.9
2024-06-20,181.6
2024-06-21,183.0
2024-06-24,182.6
2024-06-25,187.4
2024-06-26,196.4
2024-06-27,197.4
2024-06-28,197.9
2024-07-01,209.9
2024-07-02,231.3
2024-07-03,246.4
2024-07-05,251.5
2024-07-08,252.9
2024-07-09,262.3
2024-07-10,263.3
2024-07-11,241.0
2024-07-12,248.2
2024-07-15,252.6
2024-07-16,256.6
2024-07-17,248.5
2024-07-18,249.2
2024-07-19,239.2
2024-07-22,251.5
2024-07-23,246.4
2024-07-24,216.0
2024-07-25,220.2
2024-07-26,219.8
2024-07-29,232.1
2024-07-30,222.6
2024-07-31,232.1
2024-08-01,216.9
2024-08-02,207.7
2024-08-05,198.9
2024-08-06,200.6
2024-08-07,191.8
2024-08-08,198.8
2024-08-09,200.0
2024-08-12,197.5
2024-08-13,207.8
